Conversations,LastIteration,TrainingString,Type
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Garcia   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Make appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - Kia Optima, 2013.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - List services.
   👩🏻‍💻: - Our services include;Recalls;Brake repair; AC and Cabin Filter Replacement;Engine light, Battery and Electrical system;Windshield Wipers and Fluid;Tire repairs and changes;and Inspection ;Please say a service name, or NEXT for more options
👱‍♀️: - Next.
   👩🏻‍💻: - Our next services include;Accessories;Body works; Pulling and Noises;Sensor replacement;Transmission; Steering; Ignition system;And Muffler ;Please say a service name
👱‍♀️: - Body Works.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?
👱‍♀️: - Drop off.
   👩🏻‍💻: - Our first availability isToday at 10:50 AM, 11:50 AM and 1:10 PM   Please select a time, say next, or say a date of your choice
👱‍♀️: - Next.
   👩🏻‍💻: - We have availabilityToday at 2:30 PM and 3:50 PMPlease select a time, say next, or say a date
👱‍♀️: - Tuesday, August 23rd.
   👩🏻‍💻: - We have availabilityTomorrow at 7:50 AM, 8:50 AM and 10:10 AMPlease select a time, say next, or say a date","
👱‍♀️: - 7:50 a.m.
   👩🏻‍💻: -    Great. You are booked. Your confirmation is on the way. Our team looks forward to seeing you soon. Good bye.   ",Make appointment. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Financ   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Service.
   👩🏻‍💻: - No matched intent
👱‍♀️: - Make appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  ","
👱‍♀️: - Operator.
   👩🏻‍💻: - Transferring call to an attendant",Service. ‍,Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -  Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Book appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - I know it breaks.
   👩🏻‍💻: - No matched intent
👱‍♀️: - Camaro.
   👩🏻‍💻: - No matched intent
👱‍♀️: - Make appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 2021 Kia, Sorento.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Oil change.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?
👱‍♀️: - Let's Get It On.
   👩🏻‍💻: - No matched intent
👱‍♀️: - Oil change.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?
👱‍♀️: - Wait at the dealership.
   👩🏻‍💻: - Our first availability isTuesday September 6th at 9:10 AM, 9:30 AM and 9:50 AM   Please select a time, say next, or say a date ","
👱‍♀️: - Please enter the call summary followed by the pound key.
   👩🏻‍💻: - Good bye",Book appointment. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Solorio   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - An appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 
   👩🏻‍💻: - No matched intent","
👱‍♀️: - Please enter the call summary followed by the pound key.
   👩🏻‍💻: - Good bye",An appointment. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Morales   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Status update.
   👩🏻‍💻: - Please say your vehicle's year 
👱‍♀️: - 2021.
   👩🏻‍💻: - Please say your vehicle's model, for example, SPORTAGE ","
👱‍♀️: - Seltos.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you about your status.   ",Status update. ‍,Status
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -  Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Speak to someone.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - Service department.
   👩🏻‍💻: - Please say your first name then spell it
👱‍♀️: - Please enter the call summary followed by the pound key.
   👩🏻‍💻: - Please say your last name then spell ","
👱‍♀️: - We're sorry, the number you entered is either invalid or we did not receive your response. Please enter the call summary followed by the pound key.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",Speak to someone. ‍,Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Turriaga   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Speak to someone in service please.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - I'd like to speak to someone in service.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",Speak to someone in service please. ‍,Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -  Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Service department.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - Schedule a service appointment price inquiry.
   👩🏻‍💻: - Please say your first name then spell it
👱‍♀️: - Gilbert ogilbee.
   👩🏻‍💻: - Please say your last name then spell ","
👱‍♀️: - Camacho Camacho.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",Service department. ‍,Operator
"
👱‍♀️: - WELCOME
   👩🏻‍💻: -  Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - I need a real person to talk.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - On my car, just get Coalition. So I just wanted to ring. If you guys can take care of it,
   👩🏻‍💻: - Please say your first name then spell it
👱‍♀️: - And on Zenith v e. N a n c, h e, n.
   👩🏻‍💻: - Please say your last name then spell ","
👱‍♀️: - C, h e n Chen.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",I need a real person to talk. ‍,Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Turriaga   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Speak to the receptionist.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - Perfect.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",Speak to the receptionist. ‍,Operator
